config,reward_mode,sampling_strategy,epsilon_start,model_dir,notes
reward_conservative_greedy,soft_reward,greedy,,Results/Models/20260425135041-2el192fd128.128GRUh-allCharts-RL,"train complete on regenerated PlotlyTable2Charts corpus; formal final eval available; actual reward params used in this run were exact=0.9, default=0.02, same_token=0.05, field=0.10, same_field_type=0.20"
reward_conservative_epsilon,soft_reward,epsilon_top_m,0.2,Results/Models/20260425142901-2el192fd128.128GRUh-allCharts-RL,"train complete on regenerated PlotlyTable2Charts corpus; formal final eval available; reward params exact=0.95, default=0.05, same_token=0.07, field=0.10, same_field_type=0.20"
reward_current_greedy,soft_reward,greedy,,Results/Models/20260425150540-2el192fd128.128GRUh-allCharts-RL,"train complete on regenerated PlotlyTable2Charts corpus; formal final eval available; reward params exact=0.95, default=0.05, same_token=0.10, field=0.15, same_field_type=0.35"
reward_current_epsilon,soft_reward,epsilon_top_m,0.2,Results/Models/20260425154325-2el192fd128.128GRUh-allCharts-RL,"train complete on regenerated PlotlyTable2Charts corpus; formal final eval available; reward params exact=0.95, default=0.05, same_token=0.10, field=0.15, same_field_type=0.35"
